Company Name,Ticker,Last Close
"ALARUM TEC LTD","ALAR","2.71"
"Avalon GloboCare","ALBT","3.02"
"Community Capital Bancshares","ALBY","16"
"AltC Acquisition","ALCC","10.02"
"Aldeyra Therapeutics","ALDX","5.9"
"Alector","ALEC","8.82"
"Alfi","ALFIQ",".0026"
"Aligos Therapeutics","ALGS","1.94"
"Alignment Healthcare","ALHC","12.35"
"Alimera Sciences","ALIM","2.7"
"Alight","ALIT","9.39"
"ALJ Regional","ALJJ","2.08"
"Alkami Technology","ALKT","16.37"
"Allego","ALLG","4.35"
"Allakos","ALLK","7.43"
"Allogene Therapeutics","ALLO","7.72"
"Allarity Therapeutics, Inc.","ALLR",".25"
"Allot","ALLT","3.79"
"ALLIED MIND","ALLWF",".1"
"Alliance Semiconductor","ALMC","6"
"Allena Pharmaceuticals","ALNAQ",".002"
"ANA","ALNPY","4.48"
"Allied Resources","ALOD",".2925"
"ALSP Orchid Acquisition Corporation I","ALOR","10.3399"
"AstroNova","ALOT","13.25"
"Alpha Healthcare Acquisition Corp. III","ALPA","10.05"
"alphaEn","ALPE",".0005"
"Astellas Pharma","ALPMY","14.68"
"Alpine Immune Sciences","ALPN","8.4"
"Alpine 4 Holdings, Inc.","ALPP",".56"
"Alpine Summit Energy Partners, Inc.","ALPS","4.4"
"AlerisLife","ALR",".804"
"Aileron Therapeutics","ALRN","2.78"
"ALR Technologies SG Ltd.","ALRTF",".0695"
"Alpha Star Acquisition","ALSA","10.35"
"Alseres Pharmaceuticals","ALSE",".01"
"Alstom","ALSMY","2.91"
"Altimmune","ALT","13.64"
"Alta Equipment Group","ALTG","16.95"
"Alvarium Tiedemann Holdings, Inc.","ALTI","7.91"
"Alto Ingredients","ALTO","3.39"
"Altitude Acquisition","ALTU","10.02"
"Altex Industries","ALTX",".1581"
"Alvotech","ALVO","12"
"Alvopetro Energy","ALVOF","5.23"
"AlloVir","ALVR","5.78"
"ALX Oncology Holdings","ALXO","9.3"
"Alithya Group","ALYA","1.775"
"Alzamend Neuro","ALZN",".6637"
"Antero Midstream","AM","10.9"
"Ambrx Biopharma","AMAM","1.89"
"American Acquisition Opportunity","AMAO","10.1105"
"Ambac","AMBC","16.66"
"American Bank","AMBK","18"
"Ambow Education Holding","AMBO",".3711"
"Ardagh Metal Packaging","AMBP","5.62"
"Amarantus Bioscience Holdings","AMBS",".0016"
"AMC Entertainment","AMC","5.35"
"Andatee China Marine Fuel Services","AMCF",".0001"
"AMCI Acquisition Corp. II","AMCI","10.22"
"Amcor","AMCR","12.06"
"AMC Networks","AMCX","18.51"
"American International Industries","AMIN",".11"
"A.P. Moller-Maersk","AMKBY","10.84"
"American Lithium","AMLI","3.52"
"American Lithium Minerals","AMLM",".112"
"AmeraMex International","AMMX",".52"
"Armanino Foods of Distinction","AMNF","3.62"
"American Noble Gas, Inc.","AMNI",".077"
"Applied Minerals","AMNL",".0046"
"American Sierra Gold","AMNP",".0256"
"Ampio Pharmaceuticals","AMPE",".2832"
"AmpliTech Group","AMPG","2.25"
"Amplitude","AMPL","14.38"
"Altus Power","AMPS","8.02"
"Amprius Technologies, Inc.","AMPX","6.5"
"Amplify Energy","AMPY","8.66"
"Amarin","AMRN","1.86"
"Amyris","AMRS","1.59"
"Amneal Pharmaceuticals","AMRX","2.2"
"American Shared Hospital Services","AMS","3.22"
"American Superconductor","AMSC","5.43"
"Arcelormittal South Africa","AMSIY",".2"
"ams","AMSSY","4.54"
"Amesite","AMST",".39"
"American Software","AMSWA","15.21"
"AMTD IDEA Group","AMTD","1.67"
"Applied Molecular Transport","AMTI",".63"
"Aemetis","AMTX","4.67"
"Amerityre","AMTY",".041"
"Atlis Motor Vehicles Inc.","AMV","3.24"
"American Well","AMWL","3.97"
"Maxx Sports TV","AMXX",".0532"
"Amryt Pharma","AMYT","14.63"
"Arctos NorthStar Acquisition","ANAC","10.15"
"Andrea Electronics","ANDR",".0285"
"Anebulo Pharmaceuticals","ANEB","2.55"
"ANGHAMI INC","ANGH","2.16"
"Angi","ANGI","2.91"
"Angion Biomedica","ANGN",".7201"
"AngioDynamics","ANGO","13.02"
"Acerinox","ANIOY","5.47"
"Anixa Biosciences","ANIX","4.37"
"Annexon","ANNX","7.14"
"AnPac BioMedical Science","ANPC","8.49"
"Anta Sports Products","ANPDF","15.07"
"AirMedia Group","ANTE","1.42"
"Anthera Pharmaceuticals","ANTH",".0001"
"AN2 Therapeutics","ANTX","12.16"
"Annovis Bio","ANVS","16.52"
"Sphere 3D","ANY",".3804"
"Anzu Special Acquisition Corp I","ANZU","10.08"
"American Oriental Bioengineering","AOBI",".0002"
"Arogo Capital Acquisition Corp.","AOGO","10.22"
"Africa Oil","AOIFF","2.0835"
"Angel Oak Mortgage","AOMR","7.91"
"Artivion","AORT","13.04"
"American Outdoor Brands","AOUT","10.48"
"Advanced Oxygen Technologies","AOXY",".6"
"AmpcoPittsburgh","AP","3.28"
"StoneBridge Acquisition","APAC","10.46"
"AP Acquisition Corp.","APCA","10.42"
"Applied DNA Sciences","APDN","1.48"
"American Public Education","APEI","12.11"
"Apollo Endosurgery","APEN","9.83"
"Coloured Ties Capital","APEOF",".6"
"Apollo Strategic Growth Capital II","APGB","10.11"
"American Power Group","APGI",".019"
"Apexigen, Inc.","APGN","1.68"
"Agora","API","3.89"
"Applied Digital Corporation","APLD","3.1"
"Apple Hospitality REIT","APLE","17.73"
"Appili Therapeutics","APLIF",".0407"
"Applied Therapeutics","APLT","1.11"
"Aptorum Group Limited","APM","5"
"AxonPrime Infrastructure Acquisition Corporation","APMI","10.02"
"Apeiron Capital Investment Corp.","APN","10.37"
"Aspen Pharmacare","APNHY","8.6875"
"AppLovin","APP","12.7"
"AppHarvest","APPH","2.44"
"Digital Turbine","APPS","17.36"
"Aprea Therapeutics","APRE",".5015"
"Blue Apron","APRN","1.01"
"Aqua Power Systems","APSI",".355"
"Alpha Pro Tech","APT","4.14"
"Alpha Partners Technology Merger Corp.","APTM","10.1054"
"Aptose Biosciences","APTO",".75"
"Aptinyx","APTX",".4999"
"Aptevo Therapeutics","APVO","2.3"
"Asia Pacific Wire & Cable","APWC","1.6"
"APx Acquisition Corp. I","APXI","10.35"
"Aspyra","APYI",".05"
"AppYea, Inc.","APYP",".0214"
"Apyx Medical","APYX","2.92"
"AquaBounty Technologies","AQB","1.17"
"Aqua Metals","AQMS","1.23"
"Algonquin Power & Utilities","AQN","7.3"
"Aquestive Therapeutics","AQST",".89"
"Aquaron Acquisition Corp.","AQU","10.11"
"ARAVIVE","ARAV","1.67"
"Accuray","ARAY","2.52"
"Industrial Tech Acquisitions","ARBE","3.57"
"Aequi Acquisition","ARBG","10.25"
"Argo Blockchain","ARBK","1.92"
"ARC Document Solutions","ARC","3.49"
"Ares Capital","ARCC","19.37"
"Arco Platform","ARCE","13.24"
"Arbor Rapha Capital Bioholdings Corp. I","ARCK","11.9"
"Arcos Dorados","ARCO","8.5"
"ARC Group Worldwide","ARCW",".95"
"Aridis Pharmaceuticals","ARDS",".67"
"Ardelyx","ARDX","2.93"
"American Rebel Holdings, Inc.","AREB",".22"
"American Resources","AREC","1.55"
"Arena Group","AREN","8.94"
"Arhaus, Inc.","ARHS","14.15"
"Apollo Commercial Real Estate Finance","ARI","12.17"
"Aris Water Solutions","ARIS","15.49"
"Arisz Acquisition Corp.","ARIZ","10.19"
"ARKO","ARKO","8.39"
"Ark Restaurants","ARKR","18.9"
"Arlo Technologies","ARLO","3.75"
"Armata Pharmaceuticals","ARMP","2.98"
"Archrock","AROC","9.91"
"Centricus Acquisition","ARQQ","2.12"
"Arcutis Biotherapeutics","ARQT","16.57"
"ARMOUR Residential REIT","ARR","6.28"
"Amerigo Resources","ARREF","1.17"
"Arrowroot Acquisition","ARRW","10.1"
"Artemis Strategic","ARTE","10.27"
"Arch Therapeutics","ARTHD","4.8"
"Artelo Biosciences","ARTL","3.22"
"Art's-Way Manufacturing","ARTW","2.4999"
"Arrival","ARVL",".3999"
"Arrow Resources","ARWD",".0004"
"ARYA Sciences Acquisition Corp IV","ARYD","10.15"
"ARYA Sciences Acquisition Corp V","ARYE","10.11"
"ARYx Therapeutics","ARYX",".0005"
"","ASA","16.34"
"Sendas Distribuidora","ASAI","19.29"
"Asana","ASAN","15.5"
"Waitr","ASAP",".4125"
"Assa Abloy","ASAZY","11.71"
"Ardmore Shipping","ASC","14.65"
"A SPAC I Acquisition Corp.","ASCA","10.51"
"A SPAC II Acquisition Corp.","ASCB","10.26"
"Aristocrat Group","ASCC",".022"
"","ASG","5.36"
"Asahi Glass","ASGLY","7.31"
"AerSale","ASLE","18.61"
"ASLAN Pharmaceuticals","ASLN",".6879"
"Avino Silver","ASM",".773"
"Assembly Biosciences","ASMB","1.74"
"EKIMAS","ASNB",".55"
"Actelis Networks","ASNS",".56"
"ASOS PLS","ASOMY","10.78"
"Abri SPAC I","ASPA","10.4"
"ASP Isotopes Inc.","ASPI","1.56"
"Aspen Aerogels","ASPN","10.5"
